廠商,職稱,待遇,缺額
長城保全股份有限公司,工地駐點保全人員,月薪33000元,5
慕里諾國際(股)公司,外場服務員(正兼職),月薪29000-33000元、時薪 160-180元,30
慕里諾國際(股)公司,內場服務員(正兼職),月薪29000-33000元、時薪 160-180元,30
慕里諾國際(股)公司,內、外場幹部,月薪32000元起,15
慕里諾國際(股)公司,儲備店長,月薪36000-40000元,10
慕里諾國際(股)公司,儲備店長(具連鎖餐廳主管經驗者),月薪38000-43000元,10
信實,早班環保助理,"月薪 24,620  元",10
信實,晚班環保助理,"月薪 26,120? 元",15
信實,高鐵隨車人員,"月薪 32,000? 元",5
信實,配送員,"月薪 31,300? 元",5
信實,環保助理,24620~32000元,20
鼎泰豐小吃店股份有限公司,餐飲服務專員(含國際組),"39,000~43,000元",25
鼎泰豐小吃店股份有限公司,收銀專員,"39,000~43,000元",15
鼎泰豐小吃店股份有限公司,料理廚師,"45,900~55,900元",15
鼎泰豐小吃店股份有限公司,傳菜品檢員,"?37,000~40,400元",10
鼎泰豐小吃店股份有限公司,餐飲工讀生,臺北地區時薪$185~210元/新竹以南時薪$175~200元,10
肉多多全球股份有限公司,外場儲備幹部,"月薪28,000~45,000",20
肉多多全球股份有限公司,正職服務人員,"月薪28,000~30,000",20
肉多多全球股份有限公司,計時人員,時薪168~188元,50
